objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Feed the Kraken","271601","0","0","0","1","0","0","0","1","0","0","0","3","","","","","","149677387","7.09825","7.76749","2.1728","396","10831","thing","Feed the Kraken","5","11","90","90","45","2022","6,7,8,9,10,11","8,9,10,11","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Bumble3ee Interactive; Funtails; SPIEL INSTABIL","Spanish","2022","Spanish deluxe edition"
"Flip 7","420087","6","1","0","1","0","0","0","0","0","0","0","3","","","","","","146340038","6.99515","7.20477","1.04","514","58467","thing","Flip 7","3","18","20","20","20","2024","3,4,5,6,7,8,9","5,6","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Gloomhaven: Jaws of the Lion","291457","0","0","0","1","0","0","0","1","0","0","0","3","","","","","","146326553","8.08908","8.35042","3.643","12","90557","thing","Gloomhaven: Jaws of the Lion","1","4","120","120","30","2020","1,2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Great Western Trail: Second Edition","341169","0","0","0","1","0","0","0","1","0","0","0","1","","","","","","149153977","7.90551","8.26005","3.7029","31","26286","thing","Great Western Trail: Second Edition","1","4","150","150","75","2021","1,2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Harmonies","414317","9","8","0","1","0","0","0","0","0","0","0","3","","","","","","146338572","7.77286","8.03262","2.0115","52","56794","thing","Harmonies","1","4","45","45","30","2024","1,2,3,4","2,3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Heat: Heavy Rain","410291","0","0","0","1","0","0","0","1","0","0","0","3","","","","","","146339392","6.8961","8.12858","2.3846","0","17390","thing","Heat: Heavy Rain","1","7","60","0","60","2024","1,2,3,4,5,6,7","5,6","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Heat: Legends","463405","0","0","0","1","0","0","0","1","0","0","0","3","","","","","","146339380","5.81012","8.18216","2.4","0","4049","thing","Heat: Legends","1","5","60","60","60","2026","1,2,3,4,5","1","10+","","","","","","","expansion","","","","","","","","","","","","","","",""
"Heat: Pedal to the Metal","366013","8.5","6","0","1","0","0","0","0","0","0","0","3","","","","","","146339373","7.79526","7.99146","2.2012","47","64886","thing","Heat: Pedal to the Metal","1","6","60","60","30","2022","1,2,3,4,5,6","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Kitchen Rush (Revised Edition)","287938","9","3","0","1","0","0","0","0","0","0","0","3","","","","","","146340900","6.41982","7.43104","2.1233","1547","4808","thing","Kitchen Rush (Revised Edition)","2","4","60","60","20","2019","2,3,4","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Looot","410991","8","2","0","1","0","0","0","0","0","0","0","3","","","","","","146410837","6.3225","7.05983","2.0741","1814","4104","thing","Looot","2","4","35","35","35","2024","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Lord of the Rings: Duel for Middle-earth","421006","8.5","3","0","1","0","0","0","0","0","0","0","3","","","","","","146340022","8.00044","8.35128","2.0706","19","45380","thing","The Lord of the Rings: Duel for Middle-earth","2","2","30","30","30","2024","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Lord of the Rings: Fate of the Fellowship","436217","0","0","0","1","0","0","0","1","0","0","0","3","","","","","","146340125","7.75252","8.33799","3.1067","57","24322","thing","The Lord of the Rings: Fate of the Fellowship","1","5","150","150","60","2025","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Lost Ruins of Arnak","312484","0","0","0","1","0","0","0","1","0","0","0","3","","","","","","146339645","7.91799","8.08423","2.9347","30","89415","thing","Lost Ruins of Arnak","1","4","120","120","30","2020","1,2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"The Magic Labyrinth","41916","7","2","0","1","0","0","0","0","0","0","0","3","","","","","","147498422","6.42385","6.80784","1.2108","1534","13368","thing","The Magic Labyrinth","2","4","30","30","20","2009","2,3,4","3,4","4+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Magic Maze","209778","9","12","0","1","0","0","0","0","0","0","0","3","","","","","","146339409","6.77297","6.93374","1.7512","805","38746","thing","Magic Maze","1","8","15","15","15","2017","2,3,4,5,6","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Mind","244992","8.5","7","0","1","0","0","0","0","0","0","0","3","","","","","","146340071","6.58694","6.70657","1.0742","1141","71394","thing","The Mind","2","4","20","20","20","2018","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Paleo","300531","9","9","0","1","0","0","0","0","0","0","0","3","","","","","","146326220","7.30607","7.64245","2.6575","236","30868","thing","Paleo","2","4","60","60","45","2020","1,2,3,4","2,3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Paleo: A New Beginning","342501","0","0","0","1","0","0","0","1","0","0","0","3","","","","","","147672783","6.28444","8.22841","3.1765","0","6658","thing","Paleo: A New Beginning","2","4","60","60","45","2021","2,3,4","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Pandemic","30549","8","4","0","1","0","0","0","0","0","0","0","3","","","","","","146339418","7.40035","7.51034","2.3934","174","228986","thing","Pandemic","2","4","45","45","45","2008","1,2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Pictures","284108","8","5","0","1","0","0","0","0","0","0","0","3","","","","","","146326532","6.58666","7.2234","1.0333","1142","7209","thing","Pictures","3","5","30","30","20","2019","3,4,5","4,5","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Root","237182","0","0","0","1","0","0","0","1","0","0","0","3","","","","","","146339431","7.8792","8.06916","3.8423","34","105404","thing","Root","2","4","90","90","60","2018","3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Root: The Clockwork Expansion 2","334483","0","0","0","1","0","0","0","1","0","0","0","3","","","","","","146339462","5.97008","8.00094","3.75","0","6515","thing","Root: The Clockwork Expansion 2","1","4","90","90","60","2022","1,2","1","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Root: The Exiles and Partisans Deck","272638","0","0","0","1","0","0","0","1","0","0","0","3","","","","","","147464144","7.353","8.71653","3.8214","0","20211","thing","Root: The Exiles and Partisans Deck","2","6","0","0","0","2020","2,3,4,5","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Root: The Marauder Expansion","330149","0","0","0","1","0","0","0","1","0","0","0","3","","","","","","147464138","7.46056","8.82387","3.9556","0","20058","thing","Root: The Marauder Expansion","2","6","90","90","60","2022","2,3,4,5","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Root: The Riverfolk Expansion","241386","0","0","0","1","0","0","0","1","0","0","0","3","","","","","","147464153","7.76892","8.43076","3.8563","0","39587","thing","Root: The Riverfolk Expansion","1","6","90","90","60","2018","3,4,5","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Root: Underworld Hirelings Pack","361193","0","0","0","1","0","0","0","1","0","0","0","3","","","","","","146442513","6.17379","8.29711","3.1429","0","7578","thing","Root: Underworld Hirelings Pack","2","4","90","90","60","2022","2,3,4","3,4","12+","","","","","","","expansion","","","","","","","","","","","","","","",""
"Sail","377470","6","3","0","1","0","0","0","0","0","0","0","3","","","","","","146340107","6.68374","7.24947","2.21","946","13304","thing","Sail","2","2","20","20","20","2023","2","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"SETI: Search for Extraterrestrial Intelligence","418059","0","0","0","1","0","0","0","1","0","0","0","3","","","","","","147239780","8.05237","8.41263","3.8381","14","34538","thing","SETI: Search for Extraterrestrial Intelligence","1","4","160","160","40","2024","1,2,3,4","3","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Sky Team","373106","8.5","5","0","1","0","0","0","0","0","0","0","3","","","","","","146338435","7.89057","8.10957","2.041","32","71274","thing","Sky Team","2","2","20","20","20","2023","2","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Sky Team: Turbulence","423177","0","0","0","1","0","0","0","1","0","0","0","3","","","","","","147672803","6.48189","8.48551","2.25","0","12653","thing","Sky Team: Turbulence","2","2","15","15","15","2024","2","2","12+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Spirit Island","162886","0","0","0","1","0","0","0","1","0","0","0","3","","","","","","146326035","8.14118","8.33963","4.0754","11","100468","thing","Spirit Island","1","4","120","120","90","2017","1,2,3,4","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Splendor: Marvel","293296","9","17","0","1","0","0","0","0","0","0","0","3","","","","","","147204267","6.93786","7.556","1.8017","583","15385","thing","Splendor: Marvel","2","4","30","30","30","2020","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Survive The Island","425428","9","9","0","1","0","0","0","0","0","0","0","3","","","","","","146340893","6.64403","7.4383","1.4824","1025","9567","thing","Survive The Island","2","5","45","45","45","2024","3,4,5","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Take Time","440540","8.5","3","0","1","0","0","0","0","0","0","0","3","","","","","","146339829","6.97669","7.73659","1.768","534","11121","thing","Take Time","2","4","30","30","30","2025","2,3,4","3,4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"That's Not a Hat","375651","0","0","0","1","0","0","0","1","0","0","0","3","","","","","","146339983","6.57535","6.96357","1.058","1168","15670","thing","That's Not a Hat","3","8","15","15","15","2023","4,5,6,7,8","5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Ticket to Ride Legacy: Legends of the West","390092","0","0","0","1","0","0","0","1","0","0","0","3","","","","","","147498418","7.78995","8.60508","2.5497","49","16649","thing","Ticket to Ride Legacy: Legends of the West","2","5","90","90","20","2023","2,3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Ticket to Ride: Europe","14996","9","8","0","1","0","0","0","0","0","0","0","3","","","","","","146340085","7.39291","7.52261","1.9148","180","140510","thing","Ticket to Ride: Europe","2","5","60","60","30","2005","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Timber Town","436561","8","4","0","1","0","0","0","0","0","0","0","3","","","","","","146918037","5.86087","7.35641","1.75","4246","1677","thing","Timber Town","2","2","45","45","30","2025","2","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Tinderblox","295192","7","3","0","1","0","0","0","0","0","0","0","3","","","","","","148303680","6.17875","6.74063","1","2338","10335","thing","Tinderblox","2","6","15","15","3","2020","2,3,4,5,6","3,4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Toy Battle","434654","9","15","0","1","0","0","0","0","0","0","0","3","","","","","","146326071","7.23859","7.83438","1.4833","274","14043","thing","Toy Battle","2","2","15","15","15","2025","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Turing Machine","356123","9","6","0","1","0","0","0","0","0","0","0","3","","","","","","146629086","7.17781","7.59495","2.5333","326","20383","thing","Turing Machine","1","4","20","20","20","2022","1,2,3,4","1","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Viticulture Edición esencial","183394","8","1","0","1","0","0","0","0","0","0","0","3","","","","","","147330921","7.80222","7.95414","2.9021","44","79167","thing","Viticulture Essential Edition","1","6","90","90","45","2017","1,2,3,4,5","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Maldito Games","Spanish","2017","Spanish edition"
"Viticulture: Tuscany Essential Edition","202174","8","1","0","1","0","0","0","0","0","0","0","3","","","","","","148938127","7.98909","8.52305","3.2523","0","33472","thing","Viticulture: Tuscany Essential Edition","1","6","150","150","60","2016","1,2,3,4,5,6","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Wandering Towers","355483","8.5","7","0","1","0","0","0","0","0","0","0","3","","","","","","146339329","6.83947","7.32172","1.5906","713","13531","thing","Wandering Towers","1","6","30","30","30","2022","3,4,5,6","4,5","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Wavelength","262543","8","8","0","1","0","0","0","0","0","0","0","3","","","","","","147242105","6.97021","7.18537","1.1047","541","34456","thing","Wavelength","2","12","45","45","30","2019","4,5,6,7,8,9,10,11,12","6,8","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"The White Castle","371942","0","0","0","1","0","0","0","1","0","0","0","3","","","","","","147239792","7.69575","7.97629","3.0718","72","42498","thing","The White Castle","1","4","80","80","80","2023","1,2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Zombicide: 2nd Edition","286751","7","2","0","1","0","0","0","0","0","0","0","3","","","","","","147239863","7.01139","7.88553","2.3711","500","13823","thing","Zombicide: 2nd Edition","1","6","60","60","60","2021","1,2,3,4,5,6","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
